Artist,Streams,Dancebility,Valence,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
Tiï¿½ï¿,1062345656,80.0,24.0,62.0,41.0,2.0,11.0,23.0
"Tiï¿½ï¿½sto, Ava",656013912,75.0,46.0,76.0,3.0,0.0,9.0,4.0
"Tiï¿½ï¿½sto, Kar",566954746,77.0,51.0,79.0,20.0,0.0,26.0,6.0
"Tiï¿½ï¿½sto, Tate M",325592432,70.0,70.0,79.0,7.0,0.0,18.0,10.0
Tom Odell,1813673666,45.0,13.0,54.0,70.0,0.0,9.0,4.0
Tones and I,2864791672,82.0,54.0,59.0,69.0,0.0,18.0,10.0
"Tony Dize, Bad Bunny",479655659,66.0,58.0,79.0,23.0,0.0,22.0,20.0
Tory Lanez,415932686,65.0,46.0,53.0,16.0,0.0,9.0,5.0
"Travis Scott, 21 Savage, Metro Boomin",195516622,49.0,24.0,66.0,19.0,0.0,18.0,29.0
"Travis Scott, Metro Boomin",110649992,80.0,15.0,54.0,9.0,0.0,38.0,5.0
"Travis Scott, Young Thug, Metro Boomin",276259178,75.0,48.0,53.0,18.0,0.0,18.0,34.0
Treasure,182978249,72.0,55.0,64.0,49.0,0.0,7.0,4.0
Treyce,70069745,82.0,61.0,59.0,30.0,0.0,12.0,4.0
Troye Sivan,431424489,65.0,38.0,70.5,0.5,0.0,12.0,4.5
Trueno,198883004,86.0,86.0,79.0,11.0,0.0,8.0,9.0
"Trueno, Tiago pzk",261414174,67.0,78.0,63.0,29.0,0.0,12.0,5.0
Tulus,202677468,64.0,76.0,44.0,70.0,9.0,12.0,4.0
"Twisted, Oliver Tree",213438580,58.0,17.0,62.0,18.0,0.0,20.0,8.0
"Tyga, Doja Cat",153240879,80.0,24.0,65.0,2.0,0.0,9.0,4.0
"Tyler, The Creator",600669417,60.333333333333336,58.666666666666664,72.66666666666667,33.666666666666664,0.0,42.0,21.0
"Tyler, The Creator, Kali Uchis",1047101291,56.0,58.0,56.0,37.0,0.0,11.0,10.0
"Ugly Dray, Tesla Jnr",121077868,71.0,37.0,52.0,62.0,0.0,11.0,36.0
V,317622165,44.0,18.0,38.0,70.0,0.0,12.0,4.0
Vance Joy,2009094673,48.0,50.0,73.0,43.0,0.0,15.0,4.0
"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",81102253,84.0,65.0,50.0,67.0,0.0,13.0,6.0
Victor Cibrian,164856284,70.0,97.0,62.0,47.0,0.0,10.0,4.0
"Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",140187018,77.0,65.0,80.0,6.0,0.0,15.0,4.0
Vundabar,370068639,47.0,44.0,76.0,8.0,91.0,9.0,3.0
Wham!,1159176109,74.0,88.0,65.0,28.0,0.0,46.0,3.0
Willow,924193303,76.0,63.0,71.0,3.0,0.0,10.0,3.0
"Wisin & Yandel, ROSALï¿½",309483971,74.0,64.0,73.0,6.0,0.0,10.0,6.0
"WizKid, Toian, Metro Boomin, Don Toliver, Beam",32761689,92.0,59.0,51.0,41.0,51.0,26.0,8.0
XXXTENTACION,2223066724,67.0,20.5,35.5,72.0,0.0,13.0,16.0
"Xamï¿½ï¿½, Gustah, Neo B",240684449,82.0,52.0,61.0,38.0,0.0,14.0,27.0
YEAT,412240659,69.5,30.5,66.5,10.0,0.0,32.0,16.0
YOASOBI,143573775,57.0,84.0,94.0,11.0,0.0,37.0,9.0
Yahritza Y Su Esencia,126443991,71.0,63.0,45.0,45.0,0.0,11.0,3.0
"Yahritza Y Su Esencia, Grupo Frontera",188933502,61.0,39.0,73.0,37.0,0.0,11.0,3.0
"Yandel, Feid",632789310,79.5,53.0,71.5,9.0,0.0,12.5,7.0
Yng Lvcas,191945597,78.0,75.0,46.0,62.0,0.0,12.0,35.0
"Young Thug, Future, Gunna",311395144,77.0,49.0,42.0,1.0,1.0,13.0,19.0
Yung Gravy,221752937,73.0,62.0,75.0,0.0,0.0,34.0,8.0
Yung Lean,240769997,60.0,37.0,71.0,8.0,0.0,48.0,4.0
"Yuridia, Angela Aguilar",236857112,73.0,88.0,57.0,56.0,0.0,5.0,2.0
Zach Bryan,449701773,59.0,22.0,38.0,42.0,0.0,12.0,3.0
Zion & Lennox,527033089,81.0,56.0,70.0,4.0,0.0,5.0,24.0
Zï¿½ï¿½ Fe,154119539,89.0,89.0,86.0,16.0,0.0,8.0,5.0
Zï¿½ï¿½ Neto & Crist,145458418,67.0,55.0,67.0,60.0,0.0,80.0,5.0
a-ha,1479115056,57.0,86.0,90.0,2.0,0.0,9.0,5.0
d4vd,1316995171,57.0,23.5,51.5,47.5,0.5,22.0,3.0
"dennis, MC Kevin o Chris",111947664,86.0,59.0,96.0,50.0,1.0,9.0,5.0
girl in red,723043854,57.0,24.0,37.0,11.0,18.0,16.0,3.0
j-hope,155795783,78.0,31.0,72.0,1.0,0.0,11.0,4.0
"j-hope, J. Cole",116599790,68.0,81.0,82.0,53.0,0.0,9.0,13.0
sped up 8282,103762518,74.0,75.0,73.0,42.0,0.0,9.0,4.0
"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",207033255,69.0,36.0,90.0,1.0,10.0,15.0,4.0
teto,139193812,87.0,28.0,50.0,12.0,0.0,10.0,10.0
